neighborhoud_id,neighborhoud_name,polygon_concat
18,Marine Drive,"POLYGON((-123.144458424175 49.208593995818, -123.146861683452 49.2085729681407, -123.147462498272 49.2086290419268, -123.147998940075 49.2088252996775, -123.14825643214 49.2090075383198, -123.148739229763 49.2087552077131, -123.14896453532 49.2085309127594, -123.149093281353 49.2079701709233, -123.149275671566 49.2075075541209, -123.149146925533 49.2074304508997, -123.150530945385 49.2060215435948, -123.149822842205 49.2057201303514, -123.149361502254 49.2064280980822, -123.149179112041 49.2060145340053, -123.146904598796 49.2049490648553, -123.143278252208 49.2035330769033, -123.143278252208 49.2032666984008, -123.140521442809 49.2017708211698, -123.14098278276 49.2010978382047, -123.134802973189 49.1998780332378, -123.131906187453 49.1997868971761, -123.130511438766 49.1998850436972, -123.115394508758 49.2048762385057, -123.112369609359 49.2053178508659, -123.103921276671 49.2048464694856, -123.095165252458 49.2050725541069, -123.09123494423 49.2056613673731, -123.086533255118 49.2069511243128, -123.077875084418 49.2081497269597, -123.075343079108 49.2087665403895, -123.072596497077 49.2082478568837, -123.068787760276 49.2071473887239, -123.066813654441 49.2063412977788, -123.063438853141 49.2055565007059, -123.061014136192 49.2055915489679, -123.056515719429 49.205135919625, -123.042278553978 49.2049887154015, -123.03207289419 49.2026465796436, -123.026974662523 49.2019215484147, -123.02299100641 49.2010333340127, -123.023673839707 49.2082237931263, -123.027782983918 49.2078102440689, -123.030121870179 49.2079924864527, -123.033147401948 49.2083779969742, -123.035775966782 49.2084200524856, -123.038189954896 49.208181737448, -123.039155550141 49.207873328047, -123.040873281912 49.2082378116778, -123.045412093527 49.2078312720706, -123.05690052121 49.2071118623285, -123.05679323285 49.2057870614832, -123.059314439048 49.2059200212343, -123.062211224784 49.206403681499, -123.071255633582 49.2089761138408, -123.071320006599 49.2109877047319, -123.074291894187 49.2110437757793, -123.07947691836 49.2110507846558, -123.09618394569 49.2110087313821, -123.099134375606 49.2108124822988, -123.101022650753 49.2107984644773, -123.106552090584 49.2124212635353, -123.108451094566 49.2125474196442, -123.109749283729 49.2124002374858, -123.11132642263 49.2119096271265, -123.115352418361 49.2109774540297, -123.12325779885 49.2075224152923, -123.12756006211 49.2057490113172, -123.12756006211 49.2062256636952, -123.13039247483 49.2062326732547, -123.130467576682 49.2047536341822, -123.135038060844 49.2029661108592, -123.134823484123 49.2025735480645, -123.135563773811 49.2026436487921, -123.140756530464 49.204312016783, -123.143245620429 49.2063868833126))"
25,Fraserview,"POLYGON((-123.072037468688 49.211007831949, -123.071307907836 49.210993814183, -123.071286450164 49.208996241877, -123.062172474219 49.2063997186326, -123.059286417319 49.205916058329, -123.05680805619 49.2058039045394, -123.056893886878 49.207121695501, -123.045120122929 49.2078560913673, -123.042362812062 49.2081014172691, -123.040839317341 49.2082345936775, -123.03915489008 49.2078911379992, -123.038146379491 49.208178519444, -123.035732391377 49.2084378622408, -123.033157470723 49.208374778983, -123.030249956151 49.2079962777459, -123.027750137349 49.2078000167045, -123.023640993138 49.2081925380084, -123.024155977269 49.2103934033105, -123.023769739171 49.2122016842818, -123.023530656122 49.2252068779387, -123.032236920991 49.2252207976383, -123.032397853532 49.2200882532865, -123.066202257238 49.2203086576146, -123.069146694094 49.2203647180895, -123.070112289339 49.2199652858178, -123.070337594896 49.2199302477452, -123.071957649141 49.2199652858178))"
24,Killarney,"POLYGON((-123.066196464654 49.2203108023304, -123.065847777482 49.2207330062002, -123.065790692479 49.2252035910037, -123.065513582457 49.2328615837025, -123.048680198833 49.232797520271, -123.046598804637 49.2329516474621, -123.038638008281 49.2329376359191, -123.036964309856 49.2331758316089, -123.03589142625 49.2341426140873, -123.031793010875 49.2320408889036, -123.02335527585 49.2322779596692, -123.023526937227 49.2252155419467, -123.032241688893 49.2252214826387, -123.032391892597 49.2201019841897))"
19,Knight,"POLYGON((-123.065787864794 49.2251815112838, -123.083884099151 49.2254402706652, -123.083841183807 49.22909320015, -123.08268783393 49.2290581685492, -123.082479031243 49.2364712443446, -123.083605559029 49.2364502285261, -123.083455355324 49.2402259270526, -123.082779438653 49.2402469412644, -123.082649251271 49.2485620091078, -123.072269071244 49.2484279539583, -123.065096238829 49.2451313443701))"
23,Collingwood,"POLYGON((-123.065520907041 49.2328728463366, -123.065086590961 49.2451617375121, -123.065043675617 49.2513841422357, -123.060451733783 49.2499834911626, -123.046976315692 49.2446046217538, -123.023673283771 49.244534580527, -123.023372876361 49.2322828416837, -123.031779084108 49.2320493443243, -123.035888228319 49.2341440635474, -123.036950383088 49.2331772810972, -123.038645539186 49.232925073868, -123.046613492423 49.2329741142634, -123.048716344291 49.2328199871424))"
15,Cedar Cottage,"POLYGON((-123.104990568093 49.2488411006763, -123.104754533699 49.2542230099438, -123.105022754601 49.2546641814295, -123.104904737404 49.2566389007061, -123.075883235863 49.2562117518142, -123.075883235863 49.2566459031162, -123.065991249016 49.2562117518142, -123.066248741082 49.2529064747692, -123.065047111443 49.2513798102298, -123.065086882576 49.2451423220123, -123.072275202736 49.2484341117576))"
22,Renfrew Heights,"POLYGON((-123.023662691592 49.2445506669554, -123.02364123392 49.2581884708319, -123.04706758154 49.2581884708319, -123.052646576291 49.2575302605162, -123.056594787961 49.2576703059994, -123.056649550088 49.2484684731677, -123.046982362597 49.2446007434031))"
21,Renfrew,"POLYGON((-123.0236417977 49.2582036558478, -123.02373929509 49.2731899862671, -123.056612506374 49.2733124872025, -123.056588264973 49.2576748304473, -123.052629324467 49.25754178726, -123.047061058552 49.2581929952324))"
20,Hastings East,"POLYGON((-123.02373890272 49.273190630529, -123.023447072303 49.293545097555, -123.030017311923 49.2925528648097, -123.033536370151 49.2913773020358, -123.035381729953 49.290649558651, -123.03838580405 49.2913213221568, -123.039930756442 49.2924968862656, -123.050015862338 49.2945120738029, -123.056195671908 49.2927767783501, -123.056538994662 49.2887181875814, -123.056610048058 49.2733260569538))"
14,Grandview,"POLYGON((-123.056649065961 49.2484690574216, -123.060459645814 49.2499876418542, -123.065041752341 49.2513843048426, -123.066248091384 49.2529079223604, -123.065994529577 49.2562127817645, -123.075883285371 49.2566481577201, -123.075883285371 49.2562175076733, -123.077803747025 49.2562385150798, -123.077819840279 49.2566796685516, -123.07759989914 49.2566726661464, -123.076909865255 49.289786657699, -123.070257986898 49.2882587978023, -123.070215071553 49.2899662615789, -123.065022314901 49.2898263077566, -123.064807738179 49.2873350632412, -123.061503256673 49.2916456764574, -123.05620321166 49.2927932437198, -123.05653284822 49.2886918181935))"
